Film;Kanał;Komentarz;Temat;Sentyment;Emocjonalność (0.0-1.0);Typ Wypowiedzi;Główny Tag;Link
Insane solo bomb! #albiononline;Randiom;Why weren't they moving ?;PvP;negatywny;0.5;Pytanie;dziwne zachowanie graczy;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;"I like to see ""solo bombing"" and then show up the party ahaha";PvP;negatywny;0.6;Krytyka/Problem;fake solo pvp;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;"Definition of ""1v9""";PvP;pozytywny;0.6;Pochwała;definicja 1v9;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;+90 m 😂;Ekonomia;pozytywny;0.7;Pochwała;ogromny zysk;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Most epic clap eversince;PvP;pozytywny;0.8;Pochwała;epicka akcja;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Thats why I stopped playing this game, always pussies in groups;PvP;negatywny;0.9;Krytyka/Problem;zrezygnowany gracz;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Bro kills t4 guys like wow brooo anybody can do that good job broooooooooo;PvP;negatywny;0.8;Krytyka/Problem;słabi przeciwnici;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;*bloop* LOL, get fk’d GGz;PvP;pozytywny;0.7;Pochwała;zwycięstwo w pvp;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;"Imagine being so f'ing stupid you think that is a ""solo bomb""";PvP;negatywny;0.9;Krytyka/Problem;fałszywe solo bomb;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;That was amazing;PvP;pozytywny;0.8;Pochwała;imponująca akcja;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Players 4.1 sksksk;PvP;negatywny;0.5;Krytyka/Problem;niski tier sprzętu;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;sucks one dude had full health would of been a great pay day;Ekonomia;negatywny;0.6;Krytyka/Problem;utracony loot;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;adda mig svensk;Inne;neutralny;0.1;Pytanie;szukanie szwedów;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;T3;Inne;neutralny;0.2;Krytyka/Problem;niski tier t3;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Did the stick pot stun them? Never used it before😅;Mechanika gry;neutralny;0.3;Pytanie;pytanie o item;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Imagine someone just someone had inspected you before and then used cleanse(every leather helmet has that) when u stunned them literally your whole combo and potentially you were dead;PvP;negatywny;0.7;Sugestia zmiany;używanie cleanse;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Dostum oyun için bana yardım eder misin amerika sunucusunda oynuyorum;Inne;neutralny;0.3;Pytanie;prośba o pomoc;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Why they stop moving though;PvP;negatywny;0.4;Krytyka/Problem;dziwne zachowanie graczy;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;game mechanics were active;Mechanika gry;neutralny;0.1;Pochwała;działanie mechanik;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;If she had pulled it back just one more centimeter, she would have been Elon Musk;Inne;neutralny;0.2;Humor/Spam;cytat z elona;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;What have I just seen bro?;PvP;neutralny;0.6;Humor/Spam;zaskoczenie akcją;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Ninpo Boiling droplet💧😂😂😂;PvP;pozytywny;0.7;Humor/Spam;żart z umiejętności;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Every Albion gankers be like, let's group up;PvP;negatywny;0.6;Krytyka/Problem;gankowanie w grupie;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;they are paid actor i was there he give me 100k for this and the set;Inne;neutralny;0.4;Humor/Spam;ustawiona akcja;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;"Hello there! I'm just commenting on posts, to share the love and grace of God to someone who might need it. I just want to respectfully share how real Jesus to me is; His overwhelming evidences, ways, and revelation just puts everything into right perspective.  To the one who's reading this, always know that you are deeply valued and with great purpose! You are loved!  You'll realize it more as you start a relationship with Him-- the One loves you the most. 💘  But how do we start a relationship with Jesus? Here's what happened:  We are sinners and are deserving to pay for it (we know it ourselves, we are indeed not perfect), that's what separate us from God. But thanks to the Lord! He offered His life on the cross to pay for our sins. We may know that, but not the implication in our life, here is what it is: You and I broke God's commands, but it is Jesus who paid the fine-- that's what happened in the cross.  God loves you deeply that He doesn't want to be separated with you. He offered His life to save you! He wants to give you life! ✨  It is indeed a free gift given graciously by our Lord Jesus. And like any other gifts, we have a choice whether to accept it or not.  The only thing we have to do to accept this precious gift of salvation is to trust in Jesus as our Savior who saves us from our sins through what He's done on the cross, believing in Him as our Lord in our lives. And as a fruit of our belief in Jesus, we shall repent of our sins. He will forgive us, repair our broken relationship with Him, and we will have eternal life.  Jesus answered, “I am the way and the truth and the life. No one comes to the Father except through me. -John 14:6  How are you? Do you have a relationship with Jesus? Start it now! ❤️  As you have your relationship with Jesus, let's desire to know Him more and closer! Read the Bible and know God more EVERY DAY (preferably starting with book of John and Romans), pray always, and go to a church that is close to God's truth!";Inne;neutralny;0.9;Humor/Spam;religijny spam;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Do players actually stack up like that? Even if they're range?;PvP;neutralny;0.4;Pytanie;ustawianie się graczy;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;😮;Inne;neutralny;0.3;Humor/Spam;reakcja emoji;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;увернулся от ульты - кик со съемок;PvP;neutralny;0.4;Humor/Spam;uniknięcie umiejętności;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;game mechanics had opinions;Balans broni;negatywny;0.5;Krytyka/Problem;dziwna mechanika gry;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;bro committed fully;PvP;neutralny;0.6;Humor/Spam;pełne zaangażowanie;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;cook;Inne;pozytywny;0.4;Pochwała;dobre zagranie;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;The only person with a brain in that gank group was the fire mage, and he survived. :D;PvP;pozytywny;0.7;Pochwała;mądry mag ognia;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;albion game of bots;Inne;negatywny;0.5;Krytyka/Problem;gra pełna botów;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;The rain drope sound💔;Inne;pozytywny;0.6;Pochwała;dźwięk deszczu;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Meteor not bomb;Balans broni;neutralny;0.2;Krytyka/Problem;korekta nazwy czaru;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;The meteor is so fun;PvP;pozytywny;0.8;Pochwała;fajny meteor;https://www.youtube.com/watch?v=rkG0wuzNqtI
